"product_name","product_url","product_brand","product_price_int","product_price_float","product_image"
"Sunglasses Organizer with 5 Slots, Travel Glasses Case Storage Portable Sunglasses Storage Case Bag Foldable Eyeglasses Holder Box Eyewear Display Containers for Women Men, Steel Blue","https://www.amazon.com/MoKo-Sunglasses-Organizer-Eyeglasses-Containers/dp/B07XRDMKPL/ref=sr_1_862?dchild=1&keywords=sunglasses&qid=1596432828&s=apparel&sr=1-862","MoKo","24.","99","https://m.media-amazon.com/images/I/61ZGTUpauQL._AC_UL320_.jpg"
"Ray Ban RB3025 3025/3026 RayBan Sunglasses Replacement Glass Lenses","https://www.amazon.com/RB3025-3026-Sunglasses-Replacement-Size-62mm/dp/B01695K0JA/ref=sr_1_863?dchild=1&keywords=sunglasses&qid=1596432828&s=apparel&sr=1-863","Ray-Ban","51.","99","https://m.media-amazon.com/images/I/71wmvDEow4L._AC_UL320_.jpg"
"VE2161 Sunglasses","https://www.amazon.com/Versace-2161-VE2161-Sunglasses/dp/B01AOFZU2S/ref=sr_1_864?dchild=1&keywords=sunglasses&qid=1596432828&s=apparel&sr=1-864","Versace","154.","00","https://m.media-amazon.com/images/I/51kEqWAJfdL._AC_UL320_.jpg"
"Men's Fantail 580G Polarized Rectangular Sunglasses, Blackout/Grey Blue Mirrored Polarized-580G, 59 mm","https://www.amazon.com/Costa-Del-Mar-Sunglasses-Blackout/dp/B00A6FGK3A/ref=sr_1_865?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-865","Costa Del Mar","239.","99","https://m.media-amazon.com/images/I/71wMXymuEDL._AC_UL320_.jpg"
"Python Sunglasses","https://www.amazon.com/Bolle-Python-11329-Sunglasses-Shiny/dp/B004RHSBNA/ref=sr_1_866?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-866","Bolle","59.","95","https://m.media-amazon.com/images/I/61R304RV+mL._AC_UL320_.jpg"
"Women's Florentine Round Sunglasses","https://www.amazon.com/TOMS-Womens-TRAVELER-Florentin-Matte/dp/B01N78AC1A/ref=sr_1_867?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-867","TOMS","70.","82","https://m.media-amazon.com/images/I/61pma5UVAXL._AC_UL320_.jpg"
"Men's Manta Rectangular Sunglasses","https://www.amazon.com/Costa-Del-Mar-Sunglasses-Tortoise/dp/B00PX5S7MA/ref=sr_1_868?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-868","Costa Del Mar","179.","00","https://m.media-amazon.com/images/I/51IE4kUXKaL._AC_UL320_.jpg"
"Men's Oo9014 Gascan Rectangular Sunglasses, Matte Black/Grey, 64 mm","https://www.amazon.com/Oakley-Mens-OO9014-Gascan-Sunglasses/dp/B000IWNNNG/ref=sr_1_869?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-869","Oakley","106.","00","https://m.media-amazon.com/images/I/51B7QkkvndL._AC_UL320_.jpg"
"Seek Wrap Sunglasses","https://www.amazon.com/Tifosi-0180404779-Sunglasses-Crystal-Gradient/dp/B005P2CUY2/ref=sr_1_870?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-870","Tifosi","49.","17","https://m.media-amazon.com/images/I/51p3AiBbMRL._AC_UL320_.jpg"
"Vintage Women Butterfly Sunglasses Designer Luxury Square Gradient Sun Glasses Shades B2486","https://www.amazon.com/FEISEDY-Butterfly-Sunglasses-Designer-Gradient/dp/B07Q2ZMFVW/ref=sr_1_871?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-871","FEISEDY","14.","95","https://m.media-amazon.com/images/I/61WZuRWmmVL._AC_UL320_.jpg"
"DESIGN P8478 D Aviator Sunglasses Black Matte Frame (Gray- Size lens 69mm + Extra Lenses)","https://www.amazon.com/PORSCHE-DESIGN-P8478-Aviator-Sunglasses/dp/B071D6F1R4/ref=sr_1_872?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-872","Porsche","302.","00","https://m.media-amazon.com/images/I/51MRDi6Lc7L._AC_UL320_.jpg"
"Women Design Sunglasses GG0022S 003 Havana Brown Gold With Dark lens","https://www.amazon.com/Gucci-Design-Sunglasses-GG0022S-Havana/dp/B06XCMBT5H/ref=sr_1_873?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-873","Gucci","159.","00","https://m.media-amazon.com/images/I/71KKVl2HICL._AC_UL320_.jpg"
"Sunglasses for Men Women - Polarized Rectangle Styles - Multiple Frames and Lens Colors","https://www.amazon.com/Revo-Polarized-Sunglasses-Rectangle-Graphite/dp/B07MVWG8CV/ref=sr_1_874?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-874","Revo","159.","00","https://m.media-amazon.com/images/I/612JOHamusL._AC_UL320_.jpg"
"Polarized - Women Cat Eye Metal Bridge Oversized Design Sunglasses, UV Protection","https://www.amazon.com/PZ-Polarized-Bridge-Design-Sunglasses/dp/B07D636B8V/ref=sr_1_875?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-875","PZ","17.","99","https://m.media-amazon.com/images/I/61jsAPGJ+AL._AC_UL320_.jpg"
"Unisex Re 4071 Harness Wraparound Polarized Uv Protection Sunglasses Wrap","https://www.amazon.com/Revo-RE-4071-Wraparound-Protection/dp/B00KT8FYMC/ref=sr_1_876?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-876","Revo","188.","00","https://m.media-amazon.com/images/I/61-5qWoWQSL._AC_UL320_.jpg"
"Last Cast Polarized Sunglasses with AcuTint UV Blocker for Fishing and Outdoor Sports","https://www.amazon.com/Flying-Fisherman-Polarized-Sunglasses-Amber-Green/dp/B07HHGC35C/ref=sr_1_877?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-877","Flying Fisherman","29.","95","https://m.media-amazon.com/images/I/51tj6Qj0BHL._AC_UL320_.jpg"
"unisex-adult Rb2187 Nomad Square Sunglasses Square Sunglasses","https://www.amazon.com/Ray-Ban-RB2187-Nomad-Square-Sunglasses/dp/B087NWJ18V/ref=sr_1_878?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-878","Ray-Ban","175.","00","https://m.media-amazon.com/images/I/51Ag+rlDPiL._AC_UL320_.jpg"
"VE2161 Aviator Sunglasses For Men For Women+FREE Complimentary Eyewear Care Kit","https://www.amazon.com/Versace-VE2161-aviador-hombres-gratuito/dp/B07XH2PS9Y/ref=sr_1_879?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-879","Versace","209.","00","https://m.media-amazon.com/images/I/41xH2ZPHozL._AC_UL320_.jpg"
"Women's PR 20US Cat Eye Sunglasses","https://www.amazon.com/Prada-Womens-0PR-20US-Gradient/dp/B07G5LV12B/ref=sr_1_880?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-880","Prada","159.","99","https://m.media-amazon.com/images/I/61DybYoOK5L._AC_UL320_.jpg"
"EV1031-333 Terminus R Sunglasses (Frame Grey with ML Green Flash Lens), Matte Seaweed/Electro Green","https://www.amazon.com/Nike-EV1031-333-Terminus-Gafas-montura/dp/B01N1TZW3X/ref=sr_1_881?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-881","Nike","49.","95","https://m.media-amazon.com/images/I/61PGxhkL2uL._AC_UL320_.jpg"
"Rb3447n Round Flat Lenses Metal Sunglasses","https://www.amazon.com/Ray-Ban-Metal-Sunglass-Round-Arista/dp/B076VHQ86Y/ref=sr_1_882?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-882","Ray-Ban","154.","00","https://m.media-amazon.com/images/I/515wy06ztjL._AC_UL320_.jpg"
"Rb4105 Wayfarer Folding Sunglasses","https://www.amazon.com/Ray-Ban-Rb4105-Wayfarer-Gafas-plegables/dp/B00F92HCLO/ref=sr_1_883?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-883","Ray-Ban","159.","00","https://m.media-amazon.com/images/I/51dn8pxqywL._AC_UL320_.jpg"
"Rb3561 The General Square Sunglasses","https://www.amazon.com/Ray-Ban-RB3561-General-Aviator-Sunglasses/dp/B01MT6KL3W/ref=sr_1_884?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-884","Ray-Ban","165.","00","https://m.media-amazon.com/images/I/51V+LdEdUML._AC_UL320_.jpg"
"MK2072 333211 Black Barbados Square Sunglasses Lens Category 2 Siz, Black Injected, 56/17/140","https://www.amazon.com/Michael-Kors-Barbados-Shaded-Sunglasses/dp/B07D598DX1/ref=sr_1_885?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-885","Michael Kors","54.","99","https://m.media-amazon.com/images/I/5120z6LA9BL._AC_UL320_.jpg"
"Tailwind 12 Sunglasses, Black/Voltage, Grey with Silver Flash Lens","https://www.amazon.com/Nike-Tailwind-12-anteojos-de-sol/dp/B008VEPICM/ref=sr_1_886?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-886","Nike","79.","33","https://m.media-amazon.com/images/I/517fENuELdL._AC_UL320_.jpg"
"mens Oo9244 Holbrook Asian Fit Rectangular Sunglasses Rectangular Sunglasses","https://www.amazon.com/OO9244-Holbrook-Rectangular-Sunglasses-Polarized/dp/B07TXF3J5M/ref=sr_1_887?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-887","Oakley","98.","00","https://m.media-amazon.com/images/I/61bzwdeJxlL._AC_UL320_.jpg"
"Adjustable Retainer","https://www.amazon.com/Costa-Del-Mar-Adjustable-Retainer/dp/B0799D1JXZ/ref=sr_1_888?dchild=1&keywords=sunglasses&qid=1596432841&s=apparel&sr=1-888","Costa Del Mar","13.","99","https://m.media-amazon.com/images/I/4193ZWacfzL._AC_UL320_.jpg"
